20230530	17:46:55	a8520867-8ebd-4c56-82cb-463e460db1a9	/404.html	GET
20230530	17:46:55	ab1fed2f-d487-4252-8b6a-708074398672	/css/style.css	GET
20230530	17:47:21	add02706-16ad-4463-aaf2-c9ee28a65e25	/new-page.html	GET
20230530	17:47:21	460dc360-c467-413d-8f11-03358ae8c103	/css/style.css	GET
20230530	17:47:21	03a767bf-b697-4ce3-8089-8e3902dd7931	/img/img1.jpg	GET
20230530	17:50:30	798c86e9-a86f-4f58-a509-59ff3d7d3912	/new-page.html	GET
20230530	17:50:30	9525a87e-11e9-4546-b222-ecc15b6471be	TypeError	fsPromises.readFil is not a function
20230601	18:55:03	d44c73b9-0356-4851-b084-fa3bb8eae2c0	GET	undefined	/new-page.html
20230601	18:55:03	5f16508b-4271-4bd9-b416-937ee2c84f3f	GET	undefined	/css/style.css
20230601	18:55:03	193c1da3-f484-4157-8913-8e5a2fc95414	GET	undefined	/img/img1.jpg
20230601	18:57:14	db91dad6-cf6e-4ff9-b654-56f42b8e8b4e	GET	undefined	/new-page.html
20230601	18:57:14	76849159-bb4d-472b-bd72-19119942f564	GET	undefined	/css/style.css
20230601	18:57:14	5938eb52-d25c-4a65-a8fb-c1486460e97b	GET	undefined	/img/img1.jpg
20230601	19:00:51	49624f31-eef1-4e20-a028-2a1cffffd80e	OPTIONS	https://www.google.com	/new-page.html
20230601	19:00:51	fbdc174a-d81b-4375-99b4-ebdea2568578	GET	https://www.google.com	/new-page.html
20230601	21:19:57	b45e22d4-f29d-43cd-af39-9cda06990ed8	OPTIONS	https://www.google.com	/new-page.html
20230601	21:19:57	8ee954c7-4dc8-4479-92aa-6599ec89bdfe	GET	https://www.google.com	/new-page.html
20230601	21:20:22	46776200-f861-48a8-b92c-a676722d0b00	GET	undefined	/new-page.html
20230601	21:20:32	a6bc3cc8-c3d0-4b25-962b-47bee06b4c10	GET	undefined	/new-page.html
20230601	21:20:34	260f09e0-9587-4b93-8a72-93d3e431f47a	GET	undefined	/new-page.html
20230601	21:20:35	3a83d921-26a9-4a41-ba0a-d9ac97e5b3a2	GET	undefined	/new-page.html
20230601	21:20:43	1f1baad1-a0f6-4a54-9590-bf8b831e6a42	GET	undefined	/new-page.html
20230601	21:20:44	fbab2efb-d7a0-4335-8c62-db59e48f69d3	GET	undefined	/new-page.html
20230601	21:20:54	43880b15-eafe-4e09-b87c-c405a64fdd7a	GET	undefined	/new-page.html
20230601	21:21:06	9a42c8d2-3b1b-4290-beed-54a477691e0f	GET	undefined	/new-page.html
20230601	21:21:37	4f631852-3546-484a-a77f-7cab91c460a6	GET	undefined	/new-page.html
20230601	21:22:34	e724230c-2c54-4c5a-ab8b-435014557393	GET	undefined	/new-page.html
20230601	21:22:36	4fee14e1-6cad-4e5d-9765-cfdb04bee1a4	GET	undefined	/new-page.html
20230601	21:22:37	e3ffd330-8462-4795-aaf1-2d22357f136a	GET	undefined	/new-page.html
20230601	21:22:37	093f311d-44e1-496a-9992-6c9fcf66b5ff	GET	undefined	/new-page.html
20230601	21:25:44	91ce227a-5101-4ad5-85cf-7d6a53aca170	GET	undefined	/new-page.html
20230601	21:25:45	6a53e420-11de-4382-8e74-7ebf0b7562d6	GET	undefined	/new-page.html
20230601	21:25:49	174d2c0a-6cba-4c1b-9115-0950eba79bea	GET	undefined	/
20230601	21:25:50	bb5929e0-04a0-4290-8d02-a49cf0988ccc	GET	undefined	/
20230601	21:25:50	ef77da3e-717d-42bf-b985-751150814d0d	GET	undefined	/
20230601	21:25:51	530ac098-c79f-48f0-9200-4d6d6203dd16	GET	undefined	/
20230601	21:25:51	c8632ddc-408a-47f4-b8f8-6bab76d506b7	GET	undefined	/
20230601	21:25:51	33b33619-a721-421b-a5b6-661d16fe9e24	GET	undefined	/
20230601	21:27:38	1889db56-20ac-4330-afb3-77fe38fcef0c	GET	undefined	/
20230601	21:27:39	341b473b-75a5-4d94-86c4-c5f90adda1af	GET	undefined	/
20230601	21:27:49	97260eba-f17c-4de9-af9f-a0469a4dbc20	GET	undefined	/
20230601	21:28:01	d04ef1a6-a59a-48ba-8753-2ae870c66ec5	GET	undefined	/
20230601	21:28:28	55305ba1-b8b0-4fc4-8fe3-1cf0d6af5e92	GET	undefined	/
20230601	21:29:43	6dee7a67-0511-43e7-a05a-310d8ee4eaa7	GET	undefined	/
20230601	21:29:44	aecda355-84bb-4a69-a13a-854020eb65cd	GET	undefined	/css/style.css
20230601	21:29:53	f22d1ff4-cc24-41e8-9514-8a505cccad99	GET	undefined	/new-page.html
20230601	21:29:53	1d0a525e-d1d4-447b-9500-b2e0635a5647	GET	undefined	/css/style.css
20230601	21:29:53	d270716e-98dc-466f-9cfe-70a137be8fd8	GET	undefined	/img/img1.jpg
20230601	21:30:37	6e54ba82-4e86-4f86-952a-d801e326f5f6	OPTIONS	https://www.google.com	/new-page.html
20230601	21:30:37	72a34775-5567-4ae7-9aa2-a985157e9b6b	GET	https://www.google.com	/new-page.html
20230601	21:35:47	82fef53b-eade-484f-8c48-39a33ecbec59	GET	undefined	/new-page.html
20230601	21:35:47	c76d1a95-a9ec-4008-acbc-e39eb93c5c12	GET	undefined	/css/style.css
20230601	21:35:47	ecbc2137-8bf6-407e-8d2f-eae626b35eb6	GET	undefined	/img/img1.jpg
20230601	21:35:49	ad452189-2495-4e0c-a4c6-a609930dc68e	GET	undefined	/new-page.html
20230601	21:35:49	865df3be-fb44-4d28-8f67-58c0b526155f	GET	undefined	/css/style.css
20230601	21:35:49	19efdea0-d5ad-4ba3-a6d5-15421ee581c7	GET	undefined	/img/img1.jpg
20230601	21:36:04	e6138f86-b2ea-4b1a-bc31-426dabf33ccb	GET	undefined	/new-page.html
20230601	21:36:04	32ad8ec4-6f11-4d0d-8a6e-2ad2240dad73	GET	undefined	/css/style.css
20230601	21:36:04	b1bbe1a7-ef8f-400c-ae94-2f391c2ef9ef	GET	undefined	/img/img1.jpg
20230601	21:36:05	b72cbec1-3a81-4789-9e87-865214d1e962	GET	undefined	/new-page.html
20230601	21:36:06	c38ad1ed-b75a-4c56-b76e-6fd5f9ed26ab	GET	undefined	/css/style.css
20230601	21:36:06	3d2225f2-2da8-40d9-ba61-04a347c412bc	GET	undefined	/img/img1.jpg
20230601	21:36:06	5314a0f8-ddb2-48b8-8a82-5384b021c9b3	GET	undefined	/new-page.html
20230601	21:36:06	1f744018-504b-4060-97c2-0fb7fa881020	GET	undefined	/css/style.css
20230601	21:36:06	ae75fa72-607d-4fcf-9ccf-65cfdf66ccb4	GET	undefined	/img/img1.jpg
20230601	21:36:06	1f3aae2b-7f5a-43b3-a1f7-13d4f89cc586	GET	undefined	/new-page.html
20230601	21:36:06	76b6e0be-f5a9-49f6-a8cf-a4276fff5656	GET	undefined	/css/style.css
20230601	21:36:06	13f7918b-a919-431f-81ed-6924152f5049	GET	undefined	/img/img1.jpg
20230601	21:36:07	3ae9905e-7016-442a-b954-1ba1ecf6eb63	GET	undefined	/new-page.html
20230601	21:36:07	127d3695-e489-41de-a7fa-9d9491dc3e04	GET	undefined	/css/style.css
20230601	21:36:07	f51e5dfa-6bdf-4712-84f1-74713e3ae344	GET	undefined	/img/img1.jpg
20230601	21:36:07	96b60269-a635-484f-827d-f3d694323769	GET	undefined	/new-page.html
20230601	21:36:07	57b4ff8a-dbe5-4bd9-b27a-a5652c6d65c4	GET	undefined	/css/style.css
20230601	21:36:07	60789801-a6a9-4dfc-8c78-da26e83ac34c	GET	undefined	/img/img1.jpg
20230601	21:36:07	148c25d2-cb34-4943-9adb-11b748e8ce2c	GET	undefined	/new-page.html
20230601	21:36:07	45477bdf-9901-47ef-ab85-83dcfcb9a599	GET	undefined	/css/style.css
20230601	21:36:07	37ee8e20-d3c1-424b-b7f6-67ae349ae281	GET	undefined	/img/img1.jpg
20230601	21:36:17	5e3992d0-fe7d-4f56-9641-5f05a4b5f014	GET	undefined	/new-page.html
20230601	21:36:17	bd32ba92-34e9-4317-8757-0e0765cdf30b	GET	undefined	/css/style.css
20230601	21:36:17	73339a29-7f6f-4bf4-bd0e-ea9b4c0ebe90	GET	undefined	/img/img1.jpg
20230601	21:36:18	e7ccfff7-b27d-4c9c-9daf-b0964c3de9a5	GET	undefined	/new-page.html
20230601	21:36:18	d0df008e-be21-4dba-a7ab-cdef77f04bf8	GET	undefined	/css/style.css
20230601	21:36:18	5ef5b6a7-bd6b-4174-ac2b-9d535bab39eb	GET	undefined	/img/img1.jpg
20230601	21:36:18	0e3b2c10-fd09-411b-bba4-a630afd43c0b	GET	undefined	/new-page.html
20230601	21:36:18	7cde1612-24bf-4e4f-8d19-29cb1f3ab16b	GET	undefined	/css/style.css
20230601	21:36:18	3cb60d59-165b-49db-afe2-e19258f20478	GET	undefined	/img/img1.jpg
20230601	21:36:21	a5dfe276-dd19-44e7-b234-6a2f5fb7f196	GET	undefined	/
20230601	21:36:21	4041a64c-f7e5-49c1-ae5e-08fb6d20eb92	GET	undefined	/css/style.css
20230601	21:36:31	5135e3ac-1303-47e5-b8e9-9bf7d3b5414e	GET	undefined	/
20230601	21:36:45	dd9d4e08-61a3-40c5-98f3-125ce4a90dbd	GET	undefined	/
20230601	21:37:04	b6f6191f-cc2f-4e07-aea9-1d64fffa5f2d	GET	undefined	/
20230601	21:37:04	8bd02c85-c235-4ff4-98b8-d86dd97702b0	GET	undefined	/css/style.css
20230601	21:43:07	e4004b9f-9bf4-4701-9546-c6ea4c109440	GET	undefined	/
20230601	21:43:07	5f076b36-b5e0-4947-851c-8131f80a4e7b	GET	undefined	/css/style.css
20230601	21:43:15	961598d2-c6d1-414a-bb5c-c4621341fef5	GET	undefined	/
20230602	11:58:27	973c0314-af4a-4ae9-a679-270d7de2881e	GET	undefined	/
20230602	11:58:27	817949f6-e6e3-4e91-bdac-d1375b4a4a86	GET	undefined	/css/style.css
20230602	11:58:27	1205d9e2-5d23-4c69-8928-bbb47b67e9e5	GET	undefined	/favicon.ico
20230602	11:58:34	baab8cc3-0aba-4203-b785-722db6856f8a	GET	undefined	/subdir
20230602	11:58:40	f21ab51f-61fb-4d7c-9dbb-c1b6d5548d08	GET	undefined	/subdir/test
20230602	11:59:16	504e7fc1-b774-4da4-9b26-d4cea5169a1c	GET	undefined	/subdir/save
20230602	11:59:16	803fb478-30ab-40df-9378-9b82bd75c879	GET	undefined	/subdir/css/style.css
20230602	12:00:48	a65304c5-04bf-4c78-aa72-531f4eec8aeb	GET	undefined	/subdir/save
20230602	12:00:48	5d45d019-cb65-494a-b888-46f5c7b0259d	GET	undefined	/subdir/css/style.css
20230602	12:01:59	72632ce6-da8f-473e-8de2-f9c14f6f7657	GET	undefined	/subdir/test
20230602	12:07:55	31c55004-b4f1-430f-a469-ef5f8043dcb5	GET	undefined	/subdir/test
20230602	12:07:59	b32912b3-aa63-49b2-ac45-97966ba1b07c	GET	undefined	/
20230602	12:07:59	a4662a11-878e-475c-919b-8c2b57a73a1e	GET	undefined	/css/style.css
20230602	12:26:55	539c499f-c61a-4100-99d6-e8adacea9488	GET	undefined	/employees
20230602	12:27:06	e7243890-e287-4d9b-99cb-be13162a66a9	GET	undefined	/employees/2
20230602	12:27:19	67476595-feb1-4625-93a4-bda605d73801	POST	undefined	/employees/
20230602	12:28:29	97a20def-e3b4-4f17-8d83-4f54d9421446	POST	undefined	/employees/
20230602	12:28:42	c6c9e9e5-1193-4779-9097-4b7f3a2f9cb2	PUT	undefined	/employees/
20230602	12:28:45	3751660b-cc32-4854-8512-d59f71f9128c	PUT	undefined	/employees/
20230602	12:28:59	0d07e8d5-53c5-4671-9359-2b748edec317	DELETE	undefined	/employees/
20230602	12:30:05	fce1987d-f5d2-498b-9963-c5419fb4fc1e	PUT	undefined	/employees/
